Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
ECLIPSE-2007,Ranked1,0.0,0.0,1.0,0.0,0.0
Metrics-Repo-2010,Ranked1,0.07017543859649122,0.15789473684210525,0.47368421052631576,0.03508771929824561,0.2631578947368421
JIRA-HA-2019,Ranked1,0.10256410256410256,0.20512820512820512,0.358974358974359,0.02564102564102564,0.3076923076923077
JIRA-RA-2019,Ranked1,0.07142857142857142,0.09523809523809523,0.35714285714285715,0.07142857142857142,0.40476190476190477
MA-SZZ-2020,Ranked1,0.04878048780487805,0.13658536585365855,0.35609756097560974,0.05365853658536585,0.40487804878048783
ECLIPSE-2007,Ranked2,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
Metrics-Repo-2010,Ranked2,0.14035087719298245,0.19298245614035087,0.10526315789473684,0.08771929824561403,0.47368421052631576
JIRA-HA-2019,Ranked2,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.38461538461538464
JIRA-RA-2019,Ranked2,0.16666666666666666,0.30952380952380953,0.11904761904761904,0.11904761904761904,0.2857142857142857
MA-SZZ-2020,Ranked2,0.08292682926829269,0.17560975609756097,0.15609756097560976,0.16585365853658537,0.4195121951219512
ECLIPSE-2007,Ranked3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
Metrics-Repo-2010,Ranked3,0.15789473684210525,0.14035087719298245,0.07017543859649122,0.17543859649122806,0.45614035087719296
JIRA-HA-2019,Ranked3,0.1282051282051282,0.07692307692307693,0.05128205128205128,0.1794871794871795,0.5641025641025641
JIRA-RA-2019,Ranked3,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.30952380952380953,0.2619047619047619
MA-SZZ-2020,Ranked3,0.11707317073170732,0.1024390243902439,0.04878048780487805,0.24878048780487805,0.48292682926829267
