@relation flume-1.5.0.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA. numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.0,1,2.66353275480426,2.18670434591002,2,0.0,2,3.0,2,1,0,2,2,5,2,0,2,3,9,6,2,0,2,0,0,0,2,3,0,2,0,0,1,0.148148148148148,0.0,0,0,0,0,0,0,5,5,0,FALSE
7.75,20,5.02404399865137,6.616839464169461,1,7.292976072907409,31,41.25,8,8,1,3,4,4,4,1,3,7,216,142,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,17,7,5,77,0,77,TRUE
1.0,1,4.1653115322251,4.89002249951669,9,0.0,9,4.77777777777778,7,1,0,9,9,17,9,0,9,9,52,34,1,0,1,5,5,0,4,8,5,1,0,0,1,0.261538461538462,0.294117647058824,0,0,0,3,0,0,16,9,7,FALSE
1.0,1,2.58496250072116,2.18872187554087,3,0.0,3,3.0,1,1,0,3,3,3,3,0,3,3,12,8,1,0,1,0,0,0,3,0,0,1,0,0,1,0.125,0.0,0,0,0,0,0,0,0,0,0,FALSE
0.473684210526316,1,5.06923567775942,4.8340942144781,19,0.499306998973955,9,2.0,8,8,0,19,19,19,19,3,16,10,48,38,0,2,0,10,0,10,19,0,0,0,1,3,0,0.0,0.0,2,0,2,0,3,2,0,0,0,FALSE
2.8,10,3.223465189601649,4.85576596741213,4,3.6,14,15.8,1,1,4,1,5,5,5,2,3,19,83,43,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,5,1,1,49,0,49,TRUE
2.95,8,5.74229206577744,6.922231416043509,9,2.45916652547159,59,16.35,26,18,4,16,20,32,20,10,10,26,357,230,1,1,1,9,7,2,13,12,7,1,2,2,1,0.277568922305764,0.21875,3,2,1,6,10,8,57,19,38,TRUE
1.8333333333333304,4,4.43063240949075,5.38365844542261,4,1.21335164821342,11,9.16666666666667,30,4,0,6,6,34,6,5,1,7,64,51,2,0,2,4,4,0,3,28,3,2,0,0,1,0.198924731182796,0.17647058823529396,0,0,0,3,0,0,19,14,5,TRUE
3.6666666666666696,10,3.94007268734865,6.08094907919034,3,3.24893144826966,22,27.1666666666667,28,2,1,5,6,36,6,2,4,17,170,110,2,0,2,1,1,0,5,30,1,2,0,0,1,0.195937873357228,0.0555555555555556,1,1,0,9,2,2,95,25,70,TRUE
2.46153846153846,10,6.35786110621727,6.70762544446227,7,2.43738146426998,32,18.615384615384606,29,25,0,13,13,21,13,2,11,4,473,290,2,1,2,7,5,2,8,8,5,2,1,1,1,0.392402659069326,0.4761904761904761,3,1,2,13,16,11,143,9,134,TRUE
0.0,0,4.18666082659032,0.0,0,0.0,0,0.0,26,26,0,0,0,0,0,0,0,0,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,14,1,0,0,0,FALSE
1.6666666666666698,4,4.9405154813204994,5.5398227746050095,7,1.24721912892465,15,9.777777777777779,5,5,1,8,9,9,9,1,8,7,117,85,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,1,3,2,10,0,10,FALSE
