@relation activemq-5.3.0.arff

@attribute CountDeclMethodPrivate numeric
@attribute AvgLineCode numeric
@attribute CountLine numeric
@attribute MaxCyclomatic numeric
@attribute CountDeclMethodDefault numeric
@attribute AvgEssential numeric
@attribute CountDeclClassVariable numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute AvgLine numeric
@attribute CountDeclClassMethod numeric
@attribute AvgLineComment numeric
@attribute AvgCyclomaticModified numeric
@attribute CountDeclFunction numeric
@attribute CountLineComment numeric
@attribute CountDeclClass numeric
@attribute CountDeclMethod numeric
@attribute SumCyclomaticModified numeric
@attribute CountLineCodeDecl numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclInstanceVariable numeric
@attribute MaxCyclomaticStrict numeric
@attribute CountDeclMethodPublic numeric
@attribute CountLineCodeExe numeric
@attribute SumCyclomatic numeric
@attribute SumEssential numeric
@attribute CountStmtDecl numeric
@attribute loc numeric
@attribute CountStmtExe numeric
@attribute RatioCommentToCode numeric
@attribute CountLineBlank numeric
@attribute CountStmt numeric
@attribute MaxCyclomaticModified numeric
@attribute CountSemicolon numeric
@attribute AvgLineBlank numeric
@attribute CountDeclInstanceMethod numeric
@attribute AvgCyclomaticStrict numeric
@attribute PercentLackOfCohesion numeric
@attribute MaxInheritanceTree numeric
@attribute CountClassDerived numeric
@attribute CountClassCoupled numeric
@attribute CountClassBase numeric
@attribute CountInput_Max numeric
@attribute CountInput_Mean numeric
@attribute CountInput_Min numeric
@attribute CountOutput_Max numeric
@attribute CountOutput_Mean numeric
@attribute CountOutput_Min numeric
@attribute CountPath_Max numeric
@attribute CountPath_Mean numeric
@attribute CountPath_Min numeric
@attribute MaxNesting_Max numeric
@attribute MaxNesting_Mean numeric
@attribute MaxNesting_Min numeric
@attribute COMM numeric
@attribute ADEV numeric
@attribute DDEV numeric
@attribute Added_lines numeric
@attribute Del_lines numeric
@attribute OWN_LINE numeric
@attribute OWN_COMMIT numeric
@attribute MINOR_COMMIT numeric
@attribute MINOR_LINE numeric
@attribute MAJOR_COMMIT numeric
@attribute MAJOR_LINE numeric
@attribute bug {TRUE,FALSE}

@data
0,3,44,1,0,1,0,3,1,3,0,0,1,3,19,1,3,3,12,1,1,1,2,3,3,3,12,19,3,1.0,6,15,1,11,0,3,1,33,2,0,3,2,4,2.6666666666666696,2,2,1.33333333333333,1,1,1.0,1,3,0.5,0,0,0,0,0,0,0.9772727272727272,0.0,0,1,0,1,FALSE
0,4,55,2,0,1,0,5,1,4,0,0,1,4,24,1,4,5,14,1,1,2,3,7,5,4,14,25,5,0.96,6,19,2,13,0,4,1,50,4,0,3,2,2,1.25,0,5,2.0,1,2,1.25,1,1,0.5,0,0,0,0,0,0,0.981818181818182,0.0,0,1,0,1,FALSE
0,3,162,4,0,1,0,26,1,4,0,0,1,21,34,1,21,26,46,2,4,4,19,34,26,21,46,102,29,0.33,26,75,4,48,0,21,1,88,1,2,5,3,7,1.9047619047619,0,5,1.7142857142857095,1,6,1.33333333333333,1,2,0.34782608695652195,0,1,1,1,4,1,0.919753086419753,1.0,0,2,1,1,FALSE
0,6,173,6,0,1,0,31,2,6,0,0,2,17,26,2,17,30,46,4,9,6,13,59,30,21,46,126,44,0.21,21,90,6,62,0,17,2,84,1,2,3,2,8,2.88235294117647,0,6,2.64705882352941,0,7,1.8235294117647096,1,3,0.75,0,0,0,0,0,0,0.890173410404624,0.0,0,2,0,0,FALSE
0,8,106,4,0,1,0,15,3,8,0,0,3,6,23,1,6,15,27,1,4,4,5,34,15,6,27,72,25,0.32,11,52,4,39,0,6,3,54,2,2,3,1,10,4.5,1,7,3.1666666666666696,0,6,2.8333333333333304,1,2,1.125,0,2,2,2,5,3,0.783018867924528,0.5,0,2,2,1,FALSE
0,3,48,1,0,1,0,4,1,3,0,0,1,4,21,1,4,4,11,0,0,1,4,4,4,4,11,20,4,1.05,7,15,1,10,0,4,1,0,2,0,3,2,2,1.0,0,3,2.5,2,1,1.0,1,0,0.0,0,0,0,0,0,0,0.916666666666667,0.0,0,2,0,0,FALSE
0,3,49,1,0,1,0,2,1,7,0,3,1,2,29,1,2,2,9,0,0,1,2,3,2,2,9,14,3,2.07,6,12,1,9,0,2,1,0,2,0,2,2,4,2.0,0,3,2.5,2,1,1.0,1,0,0.0,0,0,0,0,0,0,0.92,0.0,0,2,0,0,FALSE
0,3,91,1,0,1,0,4,1,12,0,9,1,4,60,1,4,4,12,0,0,1,4,4,4,4,12,21,4,2.86,10,16,1,11,0,4,1,0,3,0,2,2,5,2.75,0,2,1.5,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.626373626373626,0.0,0,2,0,0,FALSE
0,3,49,1,0,1,0,4,1,3,0,0,1,4,21,1,4,4,11,0,0,1,4,4,4,4,11,19,4,1.11,9,15,1,10,0,4,1,0,2,0,3,2,4,1.5,0,3,2.5,2,1,1.0,1,0,0.0,0,0,0,0,0,0,0.94,0.0,0,2,0,0,FALSE
0,3,146,1,0,1,0,6,1,16,0,13,1,6,102,1,6,6,16,0,0,1,6,6,6,6,14,29,6,3.52,15,20,1,13,0,6,1,0,3,0,2,2,5,2.6666666666666696,0,2,1.33333333333333,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.9589041095890408,0.0,0,1,0,1,FALSE
