relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA.,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity,type
core/src/main/java/org/apache/mahout/Version.java,1.0,1,2.66353275480426,3.97017552146435,4,0.0,4,2.75,0,0,3,1,4,4,4,1,3,1,13,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/FixedSizePriorityQueue.java,1.0,3,3.4220423608351402,4.3615999841589,7,0.8660254037844392,8,4.0,4,4,0,8,8,8,8,1,7,5,38,30,0,1,0,4,0,4,8,0,0,0,2,2,0,0.0,0.0,0,0,0,0,3,2,0,0,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/MinK.java,1.0,1,2.9794705707972504,3.19584681511172,4,0.0,4,3.0,4,0,0,4,4,10,4,2,2,4,16,9,1,0,1,2,2,0,2,6,2,1,0,0,1,0.19444444444444395,0.2,0,0,0,0,0,0,4,4,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchItemException.java,1.0,1,2.0,2.24643934467102,3,0.0,3,2.3333333333333304,0,0,0,3,3,7,3,0,3,2,8,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,2,2,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchUserException.java,1.0,1,2.0,2.24643934467102,3,0.0,3,2.3333333333333304,0,0,0,3,3,7,3,0,3,2,8,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,2,2,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/TasteException.java,1.0,1,2.40666631674069,2.25,4,0.0,4,2.5,0,0,0,4,4,4,4,0,4,4,12,8,1,1,1,0,0,0,4,0,0,1,2,2,1,0.133333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/TopK.java,1.0,1,2.9794705707972504,3.19584681511172,4,0.0,4,3.0,4,0,0,4,4,10,4,2,2,4,15,9,1,0,1,2,2,0,2,6,2,1,0,0,1,0.19444444444444395,0.2,0,0,0,0,0,0,4,4,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/common/Weighting.java,1.0,1,2.0,0.0,2,0.0,2,0.0,2,2,0,2,2,2,2,0,2,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,2,1,0,0,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityCountWritable.java,1.08333333333333,2,4.18852262209335,4.18833970469061,11,0.276385399196283,13,3.5833333333333304,2,1,0,12,12,18,12,0,12,8,51,32,1,0,1,5,5,0,7,6,5,1,0,0,1,0.430681818181818,0.277777777777778,1,1,0,1,0,0,20,15,5,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityEntityWritable.java,1.3076923076923102,3,4.39872628993145,4.362859946819641,10,0.6056929133855239,17,3.61538461538462,2,2,1,12,13,13,13,1,12,10,58,36,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,10,0,10,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityPrefWritable.java,1.08333333333333,2,4.18852262209335,4.21611748246838,11,0.276385399196283,13,3.5833333333333304,2,1,0,12,12,18,12,0,12,8,51,32,1,0,1,5,5,0,7,6,5,1,0,0,1,0.430681818181818,0.277777777777778,1,1,0,1,0,0,17,15,2,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityPrefWritableArrayWritable.java,1.0,1,2.8453509366224403,2.8993974703477,4,0.0,4,3.0,0,0,0,4,4,4,4,0,4,1,15,9,1,0,1,0,0,0,4,0,0,1,0,0,1,0.133333333333333,0.0,0,0,0,1,0,0,0,0,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommendedItemsWritable.java,1.57142857142857,3,3.83140184539217,4.8581719394718395,4,0.7284313590846841,11,6.428571428571429,1,1,0,7,7,7,7,0,7,4,51,39,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,3,1,1,8,0,8,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/TasteHadoopUtils.java,1.25,2,3.83659166810898,4.87111536516927,3,0.43301270189221897,5,5.25,1,1,3,1,4,4,4,1,3,4,24,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,6,1,1,12,0,12,1,0.041666666666666664,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/ToEntityPrefsMapper.java,2.0,4,4.24022392894185,5.09061440604288,2,1.4142135623731003,6,9.0,7,7,0,3,3,3,3,1,2,5,39,27,1,1,1,0,0,0,3,0,0,1,2,2,1,0.125,0.0,0,0,0,3,3,2,9,0,9,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/ToItemPrefsMapper.java,1.0,1,0.91829583405449,0.0,1,0.0,1,3.0,7,0,0,1,1,4,1,0,1,0,4,3,2,0,2,0,0,0,1,3,0,2,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/ToUserPrefsMapper.java,1.0,1,0.91829583405449,0.0,1,0.0,1,3.0,7,0,0,1,1,4,1,0,1,0,4,3,2,0,2,0,0,0,1,3,0,2,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/ALSUtils.java,1.6666666666666698,2,3.25,4.790873781480401,1,0.471404520791032,5,6.66666666666667,0,0,2,1,3,3,3,1,2,4,22,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,7,0,0,17,0,17,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/DatasetSplitter.java,2.5,4,5.17114724019363,5.43829307498407,1,1.5,5,19.0,18,7,1,1,2,40,2,0,2,2,81,60,2,0,2,0,0,0,2,38,0,2,0,0,1,0.148148148148148,0.0,0,0,0,2,5,2,37,37,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/FactorizationEvaluator.java,2.0,3,5.56485131459021,5.84461408668486,1,0.8164965809277259,6,14.0,13,2,1,2,3,41,3,1,2,3,70,53,2,0,2,0,0,0,3,38,0,2,0,0,1,0.166666666666667,0.0,0,0,0,8,2,1,30,22,8,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/ParallelALSFactorizationJob.java,2.375,6,6.27226394621947,6.48887195789631,3,1.57619002661481,19,12.5,21,10,1,7,8,46,8,6,2,8,186,143,2,0,2,0,0,0,8,38,0,2,0,0,1,0.19753086419753102,0.0,0,0,0,14,5,2,76,68,8,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/als/RecommenderJob.java,2.0,3,6.15120802776254,4.91660930562958,1,1.0,4,13.5,17,6,1,1,2,40,2,0,2,2,88,62,2,0,2,0,0,0,2,38,0,2,0,0,1,0.148148148148148,0.0,0,0,0,2,5,2,22,22,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/AggregateAndRecommendReducer.java,5.0,10,5.227294935503441,6.183633475307371,0,2.82842712474619,25,19.2,12,12,0,5,5,5,5,5,0,14,124,82,1,0,1,0,0,0,5,0,0,1,0,0,1,0.138888888888889,0.0,0,0,0,16,6,4,29,0,29,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ItemFilterAsVectorAndPrefsReducer.java,2.0,2,3.37355726227519,4.8970851506253705,0,0.0,2,13.0,0,0,0,1,1,1,1,1,0,3,17,12,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,6,0,0,10,0,10,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ItemFilterMapper.java,1.0,1,3.9219280948873596,4.21126073643228,1,0.0,1,6.0,1,1,0,1,1,1,1,1,0,3,10,7,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,1,1,1,4,0,4,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ItemIDIndexMapper.java,1.5,2,3.64022392894185,4.7552962917748705,1,0.5,3,6.0,1,1,0,2,2,2,2,2,0,4,18,10,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,4,0,0,8,0,8,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ItemIDIndexReducer.java,4.0,4,2.6464393446710197,3.88582806913643,0,0.0,4,14.0,0,0,0,1,1,1,1,1,0,3,17,10,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,2,0,0,3,0,3,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/PartialMultiplyMapper.java,3.0,3,3.12192809488736,4.760405092002411,0,0.0,3,18.0,0,0,0,1,1,1,1,1,0,3,21,16,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,5,0,0,10,0,10,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/PrefAndSimilarityColumnWritable.java,1.11111111111111,2,4.06667707370723,4.26880070916786,8,0.314269680527354,10,4.11111111111111,2,2,0,9,9,9,9,0,9,7,45,30,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,12,0,12,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/RecommenderJob.java,8.0,18,3.78714396069814,6.499809536832731,1,7.2571803523590805,24,55.0,15,4,2,1,3,41,3,1,2,3,172,107,2,0,2,0,0,0,3,38,0,2,0,0,1,0.166666666666667,0.0,0,0,0,18,1,1,132,123,9,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/SimilarityMatrixRowWrapperMapper.java,1.0,1,3.12192809488736,3.9979526986606904,1,0.0,1,7.0,0,0,0,1,1,1,1,1,0,3,11,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,4,0,0,5,0,5,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ToUserVectorsReducer.java,2.5,4,4.0849625007211605,5.0722077011403295,1,1.5,5,10.0,2,2,0,2,2,2,2,2,0,4,29,19,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,7,1,1,8,0,8,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/ToVectorAndPrefReducer.java,5.0,5,2.84643934467102,4.6433177478582195,0,0.0,5,23.0,0,0,0,1,1,1,1,1,0,3,27,17,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,4,0,0,9,0,9,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/UserVectorSplitterMapper.java,3.25,4,4.70771480259744,5.970110562077741,0,0.82915619758885,13,17.75,6,6,0,4,4,4,4,4,0,7,82,58,1,0,1,0,0,0,4,0,0,1,0,0,1,0.133333333333333,0.0,0,0,0,10,4,3,20,0,20,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/VectorAndPrefsWritable.java,1.25,2,4.204278528638961,4.7978966040741,6,0.43301270189221897,10,5.125,3,3,0,8,8,8,8,0,8,5,48,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,3,2,1,20,0,20,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/item/VectorOrPrefWritable.java,1.27272727272727,2,4.08604861231304,4.68004578907624,8,0.44536177141512295,14,5.0,3,3,0,11,11,11,11,0,11,8,63,44,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,15,0,15,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/preparation/PreparePreferenceMatrixJob.java,4.0,7,3.34643934467102,5.968287481184929,1,3.0,8,26.5,16,5,1,1,2,40,2,0,2,2,61,44,2,0,2,0,0,0,2,38,0,2,0,0,1,0.148148148148148,0.0,0,0,0,14,4,1,65,61,4,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/preparation/ToItemVectorsMapper.java,1.5,2,4.2803946541232,5.28439191516515,1,0.5,3,10.5,2,2,0,2,2,2,2,2,0,4,31,21,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,8,1,1,12,0,12,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/preparation/ToItemVectorsReducer.java,1.0,1,3.27290559532006,3.7544418457133504,1,0.0,1,6.0,0,0,0,1,1,1,1,1,0,3,9,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,1,0,0,4,0,4,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/pseudo/RecommenderJob.java,2.5,4,3.3927474104487803,5.47887104779209,1,1.5,5,18.0,11,0,1,1,2,40,2,0,2,2,39,25,2,0,2,0,0,0,2,38,0,2,0,0,1,0.148148148148148,0.0,0,0,0,4,0,0,29,29,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/pseudo/RecommenderReducer.java,5.0,6,4.105388542207529,6.157098324658261,0,1.0,10,24.5,5,5,0,2,2,2,2,2,0,10,59,40,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,7,3,1,5,0,5,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/pseudo/ReducerMetrics.java,1.0,1,2.0,0.0,2,0.0,2,0.0,2,2,0,2,2,2,2,0,2,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,2,1,0,0,0,0,0.0,NON
core/src/main/java/org/apache/mahout/cf/taste/hadoop/pseudo/UserIDsMapper.java,1.0,1,3.52164063634332,4.32385618977472,1,0.0,1,7.0,1,1,0,1,1,1,1,1,0,3,11,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,1,1,1,2,0,2,0,0.0,NON
