"name_id","AvgWMC","CCMax","CDE","CIE","NTM","SDMC","WMC","AvgSLOC","NA.","NAIMP","NCM","NIM","NLM","NM","NMIMP","NMNpub","Nmpub","NumPara","loc","stms","AID","CLD","DIT","DP","DPA","DPD","NMA","NMI","NMO","NOA","NOC","NOD","NOP","PII","SIX","SP","SPA","SPD","CBO","DAC","DACquote","ICP","IHICP","MPC","MPCNew","NIHICP","RFC","bug"
"contrib\zooinspector\src\java\com\nitido\utils\toaster\Toaster.java",1.086956522,2,6.306242811,5.425285963,21,0.281771335,25,4.782608696,15,15,0,23,23,23,23,0,23,14,254,153,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,2,4,2,27,0
"java\main\org\apache\jute\BinaryInputArchive.java",1.222222222,2,4.221331637,4.307655647,14,0.41573971,22,3.444444444,3,3,1,17,18,18,18,1,17,19,79,60,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,0,2,4,4,19,0
"java\test\org\apache\jute\BinaryInputArchiveTest.java",2,2,1.584962501,3.968340331,0,0,2,13,0,0,0,1,1,1,1,0,1,1,16,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,11,4,5,0
"java\main\org\apache\jute\BinaryOutputArchive.java",1.388888889,5,4.530232494,5.124698117,14,0.950957932,25,4.666666667,2,2,1,17,18,18,18,1,17,33,88,67,0,1,0,0,0,0,18,0,0,0,1,1,0,0,0,1,0,1,1,2,2,0,0,0,0,0,18,0
"java\main\org\apache\jute\CsvInputArchive.java",2.166666667,7,4.119222126,4.634813314,8,1.572330189,39,7.555555556,1,1,1,17,18,18,18,1,17,22,151,100,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,2,66,4,20,0
"java\main\org\apache\jute\CsvOutputArchive.java",1.315789474,2,4.383347633,4.701939611,13,0.464829519,25,5,2,2,1,18,19,19,19,2,17,33,99,70,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,2,53,4,21,0
"java\main\org\apache\jute\RecordReader.java",2.333333333,5,4.402671575,4.40836744,2,1.885618083,7,8,2,2,1,2,3,3,3,1,2,8,46,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,3,0
"java\main\org\apache\jute\RecordWriter.java",2.5,5,3.89366069,4.715882978,2,1.658312395,10,11,2,2,2,2,4,4,4,1,3,10,48,26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,4,0
"java\main\org\apache\jute\Utils.java",4.833333333,10,4.038310596,4.860676883,1,2.576604139,58,15.41666667,1,1,11,1,12,12,12,2,10,17,190,168,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"java\main\org\apache\jute\XmlInputArchive.java",1.666666667,2,5.217401001,4.795443192,6,0.471404521,30,6,3,3,1,17,18,18,18,1,17,18,184,124,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,1,1,26,0,23,73,26,24,0
