relName,numbers,className,version,filePath,bug
bench\BenchParser.java,2,BenchParser,v1.5.0,RELATIVE:\jruby\jruby-1.5.0\bench\BenchParser.java,0.0
bench\BenchParser.java,2,BenchParser,v1.7.0.preview1,RELATIVE:\jruby\jruby-1.7.0.preview1\bench\BenchParser.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\AbstractJRubyMojo.java,2,org.jruby.maven.AbstractJRubyMojo,v1.5.0,RELATIVE:\jruby\jruby-1.5.0\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\AbstractJRubyMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\AbstractJRubyMojo.java,2,org.jruby.maven.AbstractJRubyMojo,v1.7.0.preview1,RELATIVE:\jruby\jruby-1.7.0.preview1\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\AbstractJRubyMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\GemMojo.java,2,org.jruby.maven.GemMojo,v1.5.0,RELATIVE:\jruby\jruby-1.5.0\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\GemMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\GemMojo.java,2,org.jruby.maven.GemMojo,v1.7.0.preview1,RELATIVE:\jruby\jruby-1.7.0.preview1\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\GemMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\IRBMojo.java,2,org.jruby.maven.IRBMojo,v1.5.0,RELATIVE:\jruby\jruby-1.5.0\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\IRBMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\IRBMojo.java,2,org.jruby.maven.IRBMojo,v1.7.0.preview1,RELATIVE:\jruby\jruby-1.7.0.preview1\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\IRBMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\InstallGemsMojo.java,2,org.jruby.maven.InstallGemsMojo,v1.5.0,RELATIVE:\jruby\jruby-1.5.0\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\InstallGemsMojo.java,0.0
maven\jruby-rake-plugin\src\main\java\org\jruby\maven\InstallGemsMojo.java,2,org.jruby.maven.InstallGemsMojo,v1.7.0.preview1,RELATIVE:\jruby\jruby-1.7.0.preview1\maven\jruby-rake-plugin\src\main\java\org\jruby\maven\InstallGemsMojo.java,0.0
