Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
ECLIPSE-2007,Ranked1,0.0,0.0,1.0,0.0,0.0
Metrics-Repo-2010,Ranked1,0.017543859649122806,0.17543859649122806,0.6140350877192983,0.19298245614035087,0.0
JIRA-HA-2019,Ranked1,0.05128205128205128,0.10256410256410256,0.6923076923076923,0.15384615384615385,0.0
JIRA-RA-2019,Ranked1,0.047619047619047616,0.38095238095238093,0.47619047619047616,0.09523809523809523,0.0
MA-SZZ-2020,Ranked1,0.02926829268292683,0.1024390243902439,0.8682926829268293,0.0,0.0
ECLIPSE-2007,Ranked2,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
Metrics-Repo-2010,Ranked2,0.08771929824561403,0.5087719298245614,0.21052631578947367,0.19298245614035087,0.0
JIRA-HA-2019,Ranked2,0.23076923076923078,0.4358974358974359,0.10256410256410256,0.23076923076923078,0.0
JIRA-RA-2019,Ranked2,0.11904761904761904,0.2857142857142857,0.40476190476190477,0.19047619047619047,0.0
MA-SZZ-2020,Ranked2,0.2146341463414634,0.5756097560975609,0.1024390243902439,0.1073170731707317,0.0
ECLIPSE-2007,Ranked3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
Metrics-Repo-2010,Ranked3,0.43859649122807015,0.12280701754385964,0.07017543859649122,0.3684210526315789,0.0
JIRA-HA-2019,Ranked3,0.358974358974359,0.15384615384615385,0.05128205128205128,0.4358974358974359,0.0
JIRA-RA-2019,Ranked3,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.5714285714285714,0.0
MA-SZZ-2020,Ranked3,0.4926829268292683,0.15121951219512195,0.01951219512195122,0.33658536585365856,0.0
