datasetName,fileName,Ins,Ins(buggy),Ins(clean),buggy/Ins,IL,IL(buggy),IL(clean),IL/Ins,IL(buggy)/Ins(buggy),IL(clean)/Ins(clean)
IND-JLMIV+R-2020,ant-ivy-1.4.1.csv,240,11,229,0.04583333333333333,0,0,0,0.0,0.0,0.0
IND-JLMIV+R-2020,ant-ivy-2.0.0.csv,352,50,302,0.14204545454545456,12,7,5,0.03409090909090909,0.14,0.016556291390728478
IND-JLMIV+R-2020,ant-ivy-2.1.0.csv,357,49,308,0.13725490196078433,12,9,3,0.03361344537815126,0.1836734693877551,0.00974025974025974
IND-JLMIV+R-2020,ant-ivy-2.2.0.csv,363,37,326,0.10192837465564739,2,1,1,0.005509641873278237,0.02702702702702703,0.003067484662576687
IND-JLMIV+R-2020,ant-ivy-2.3.0.csv,451,13,438,0.028824833702882482,3,1,2,0.0066518847006651885,0.07692307692307693,0.0045662100456621
IND-JLMIV+R-2020,ant-ivy-2.4.0.csv,474,17,457,0.035864978902953586,2,2,0,0.004219409282700422,0.11764705882352941,0.0
IND-JLMIV+R-2020,archiva-1.0.csv,429,6,423,0.013986013986013986,0,0,0,0.0,0.0,0.0
IND-JLMIV+R-2020,archiva-1.1.csv,449,28,421,0.062360801781737196,5,3,2,0.011135857461024499,0.10714285714285714,0.004750593824228029
IND-JLMIV+R-2020,archiva-1.2.csv,433,19,414,0.04387990762124711,7,1,6,0.016166281755196306,0.05263157894736842,0.014492753623188406
IND-JLMIV+R-2020,archiva-1.3.csv,434,15,419,0.03456221198156682,7,5,2,0.016129032258064516,0.3333333333333333,0.00477326968973747
IND-JLMIV+R-2020,archiva-2.0.0.csv,420,7,413,0.016666666666666666,2,2,0,0.004761904761904762,0.2857142857142857,0.0
IND-JLMIV+R-2020,archiva-2.1.0.csv,419,5,414,0.011933174224343675,2,2,0,0.00477326968973747,0.4,0.0
IND-JLMIV+R-2020,archiva-2.2.0.csv,418,3,415,0.007177033492822967,2,2,0,0.004784688995215311,0.6666666666666666,0.0
IND-JLMIV+R-2020,calcite-1.0.0.csv,1075,178,897,0.1655813953488372,44,25,19,0.04093023255813953,0.1404494382022472,0.021181716833890748
IND-JLMIV+R-2020,calcite-1.1.0.csv,1103,113,990,0.10244786944696282,51,24,27,0.04623753399818677,0.21238938053097345,0.02727272727272727
IND-JLMIV+R-2020,calcite-1.10.0.csv,1310,84,1226,0.06412213740458016,58,33,25,0.044274809160305344,0.39285714285714285,0.020391517128874388
IND-JLMIV+R-2020,calcite-1.11.0.csv,1331,80,1251,0.06010518407212622,42,28,14,0.03155522163786627,0.35,0.011191047162270184
IND-JLMIV+R-2020,calcite-1.12.0.csv,1415,81,1334,0.05724381625441696,28,19,9,0.019787985865724382,0.2345679012345679,0.006746626686656672
IND-JLMIV+R-2020,calcite-1.13.0.csv,1275,53,1222,0.04156862745098039,23,14,9,0.01803921568627451,0.2641509433962264,0.007364975450081833
IND-JLMIV+R-2020,calcite-1.14.0.csv,1308,53,1255,0.040519877675840976,20,11,9,0.01529051987767584,0.20754716981132076,0.007171314741035857
IND-JLMIV+R-2020,calcite-1.15.0.csv,1352,45,1307,0.03328402366863906,19,10,9,0.014053254437869823,0.2222222222222222,0.006885998469778117
IND-JLMIV+R-2020,calcite-1.2.0.csv,1108,126,982,0.11371841155234658,49,25,24,0.04422382671480144,0.1984126984126984,0.024439918533604887
IND-JLMIV+R-2020,calcite-1.3.0.csv,1115,112,1003,0.10044843049327354,48,27,21,0.04304932735426009,0.24107142857142858,0.020937188434695914
IND-JLMIV+R-2020,calcite-1.4.0.csv,1127,123,1004,0.10913930789707187,46,33,13,0.04081632653061224,0.2682926829268293,0.012948207171314742
IND-JLMIV+R-2020,calcite-1.5.0.csv,1176,103,1073,0.08758503401360544,39,21,18,0.03316326530612245,0.20388349514563106,0.016775396085740912
IND-JLMIV+R-2020,calcite-1.6.0.csv,1193,107,1086,0.08968985750209556,44,24,20,0.036881810561609385,0.22429906542056074,0.01841620626151013
IND-JLMIV+R-2020,calcite-1.7.0.csv,1252,128,1124,0.10223642172523961,50,35,15,0.039936102236421724,0.2734375,0.013345195729537367
IND-JLMIV+R-2020,calcite-1.8.0.csv,1301,101,1200,0.07763259031514219,55,35,20,0.042275172943889314,0.3465346534653465,0.016666666666666666
IND-JLMIV+R-2020,calcite-1.9.0.csv,1310,90,1220,0.06870229007633588,56,31,25,0.042748091603053436,0.34444444444444444,0.020491803278688523
IND-JLMIV+R-2020,cayenne-3.0.csv,1708,44,1664,0.02576112412177986,1,1,0,0.000585480093676815,0.022727272727272728,0.0
IND-JLMIV+R-2020,cayenne-3.1.csv,1578,19,1559,0.012040557667934094,1,0,1,0.0006337135614702154,0.0,0.0006414368184733803
IND-JLMIV+R-2020,commons-bcel-5.0.csv,325,0,325,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-bcel-5.1.csv,334,0,334,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-bcel-5.2.csv,335,1,334,0.0029850746268656717,0,0,0,0.0,0.0,0.0
IND-JLMIV+R-2020,commons-bcel-6.0.csv,376,13,363,0.034574468085106384,1,0,1,0.0026595744680851063,0.0,0.0027548209366391185
IND-JLMIV+R-2020,commons-bcel-6.1.csv,378,10,368,0.026455026455026454,1,1,0,0.0026455026455026454,0.1,0.0
IND-JLMIV+R-2020,commons-bcel-6.2.csv,378,9,369,0.023809523809523808,1,1,0,0.0026455026455026454,0.1111111111111111,0.0
IND-JLMIV+R-2020,commons-beanutils-1.0.csv,3,0,3,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.1.csv,4,0,4,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.2.csv,5,0,5,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.3.csv,29,0,29,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.4.csv,43,0,43,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.5.csv,62,0,62,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.6.csv,64,0,64,0.0,0,0,0,0.0,,0.0
IND-JLMIV+R-2020,commons-beanutils-1.7.0.csv,87,7,80,0.08045977011494253,1,1,0,0.011494252873563218,0.14285714285714285,0.0
