datasetName,fileName,Ins,Ins(buggy),Ins(clean),buggy/Ins,IL,IL(buggy),IL(clean),IL/Ins,IL(buggy)/Ins(buggy),IL(clean)/Ins(clean)
ECLIPSE-2007,eclipse-2.0.csv,6727,975,5752,0.14493830830979634,80,12,68,0.011892374015162776,0.012307692307692308,0.011821974965229486
ECLIPSE-2007,eclipse-2.1.csv,7886,854,7032,0.10829317778341364,145,56,89,0.01838701496322597,0.06557377049180328,0.012656427758816837
ECLIPSE-2007,eclipse-3.0.csv,10590,1568,9022,0.14806421152030216,91,79,12,0.008593012275731822,0.05038265306122449,0.001330082021724673
Metrics-Repo-2010,ant-1.3.csv,124,20,104,0.16129032258064516,2,0,2,0.016129032258064516,0.0,0.019230769230769232
Metrics-Repo-2010,ant-1.4.csv,177,40,137,0.22598870056497175,9,5,4,0.05084745762711865,0.125,0.029197080291970802
Metrics-Repo-2010,ant-1.5.csv,290,32,258,0.1103448275862069,14,2,12,0.04827586206896552,0.0625,0.046511627906976744
Metrics-Repo-2010,ant-1.6.csv,350,92,258,0.26285714285714284,12,6,6,0.03428571428571429,0.06521739130434782,0.023255813953488372
Metrics-Repo-2010,ant-1.7.csv,740,166,574,0.22432432432432434,7,6,1,0.00945945945945946,0.03614457831325301,0.0017421602787456446
Metrics-Repo-2010,camel-1.0.csv,339,13,326,0.038348082595870206,28,1,27,0.08259587020648967,0.07692307692307693,0.08282208588957055
Metrics-Repo-2010,camel-1.2.csv,590,216,374,0.36610169491525424,82,59,23,0.13898305084745763,0.27314814814814814,0.06149732620320856
Metrics-Repo-2010,camel-1.4.csv,841,145,696,0.1724137931034483,123,23,100,0.14625445897740785,0.15862068965517243,0.14367816091954022
Metrics-Repo-2010,camel-1.6.csv,927,188,739,0.20280474649406688,109,67,42,0.11758360302049622,0.35638297872340424,0.056833558863328824
Metrics-Repo-2010,forrest-0.6.csv,6,1,5,0.16666666666666666,1,0,1,0.16666666666666666,0.0,0.2
Metrics-Repo-2010,forrest-0.7.csv,29,5,24,0.1724137931034483,1,1,0,0.034482758620689655,0.2,0.0
Metrics-Repo-2010,forrest-0.8.csv,30,2,28,0.06666666666666667,0,0,0,0.0,0.0,0.0
Metrics-Repo-2010,jedit-3.2.csv,259,87,172,0.3359073359073359,8,2,6,0.03088803088803089,0.022988505747126436,0.03488372093023256
Metrics-Repo-2010,jedit-4.0.csv,293,75,218,0.25597269624573377,18,9,9,0.06143344709897611,0.12,0.04128440366972477
Metrics-Repo-2010,jedit-4.1.csv,300,79,221,0.2633333333333333,14,7,7,0.04666666666666667,0.08860759493670886,0.03167420814479638
Metrics-Repo-2010,jedit-4.2.csv,355,47,308,0.1323943661971831,1,1,0,0.0028169014084507044,0.02127659574468085,0.0
