@relation xerces-0.init.arff

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {TRUE,FALSE}

@data
98,8,4,0,0,14,0,0,0,8,0.428571429,1.0,0,0.833333333,0.45,0,0,10.75,1,0.5,TRUE
1458,21,1,0,6,35,68,1,5,12,0.6772727270000001,0.727272727,4,0.0,0.271428571,0,0,67.90476190000001,24,4.7619,FALSE
1,1,1,0,4,1,0,3,1,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
4705,56,2,2,20,207,778,4,17,37,0.856643357,0.961538462,6,0.704918033,0.183471074,2,14,82.55357143,14,1.7679,TRUE
25,5,2,0,3,8,10,1,3,5,1.25,0.0,0,0.936170213,0.466666667,1,4,3.8,1,0.6,FALSE
19,4,1,0,13,4,6,9,4,4,1.333333333,0.0,0,0.0,0.4,0,0,0.0,1,1.0,TRUE
130,9,2,0,7,23,0,3,4,2,0.375,1.0,0,0.533333333,0.4166666670000001,1,2,13.22222222,2,0.8889,FALSE
471,10,1,0,6,19,0,5,1,1,0.066666667,0.0,0,0.0,0.566666667,0,0,45.6,7,2.8,FALSE
213,27,1,0,1,27,351,0,1,27,1.038461538,0.0,0,0.0,0.27777777800000003,0,0,0.0,1,1.0,FALSE
16,7,1,0,7,8,21,1,6,7,2.0,0.0,0,0.0,0.265306122,0,0,1.285714286,1,0.8571,TRUE
184,8,1,0,6,17,4,3,3,8,0.653061224,1.0,2,0.0,0.303571429,0,0,21.125,2,1.5,FALSE
756,14,1,0,12,51,0,5,8,8,0.557692308,0.875,3,0.0,0.241071429,0,0,52.42857143,16,3.3571,TRUE
223,11,2,2,6,26,25,3,4,10,1.05,0.5,1,0.814814815,0.477272727,1,1,19.09090909,3,1.3636,TRUE
2955,41,1,0,53,61,202,50,4,34,0.871875,0.9375,2,0.0,0.3375,0,0,70.29268293,9,3.6098,FALSE
39,4,1,0,12,8,6,5,7,4,1.333333333,1.0,0,0.0,0.59375,0,0,8.25,1,0.75,FALSE
102,11,1,1,1,18,15,1,0,11,0.5,1.0,0,0.0,0.4318181820000001,0,0,8.090909091,1,0.9091,FALSE
