@relation tika-1.0.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.36,4,4.50648769610925,5.22836704842958,19,0.7418894796396559,34,6.16,3,3,0,25,25,25,25,0,25,31,159,100,0,0,0,0,0,0,25,0,0,0,0,0,0,0.0,0.0,0,0,0,14,0,0,56,0,56,FALSE
4.85714285714286,31,6.60484051779715,6.219444122267821,6,7.51053681605424,68,21.928571428571402,23,23,3,11,14,14,14,11,3,15,596,432,0,0,0,0,0,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,20,17,5,48,0,48,TRUE
0.0,0,3.4352899579562903,2.3219280948873595,1,0.0,0,1.0,3,3,0,1,1,1,1,0,1,2,18,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,FALSE
2.2727272727272703,10,4.73199392101419,5.79699242597597,7,2.56163687338279,25,9.45454545454546,7,7,4,7,11,11,11,1,10,16,115,78,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,1,5,3,0,0,0,FALSE
1.6666666666666698,3,3.45281953111478,4.288320189106,2,0.942809041582063,5,6.66666666666667,1,1,0,3,3,3,3,0,3,3,24,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,1,5,0,5,FALSE
2.2272727272727297,9,4.93244665118647,6.244798683726599,14,2.13055302641054,49,10.0,3,3,7,15,22,22,22,6,16,32,225,142,0,0,0,0,0,0,22,0,0,0,0,0,0,0.0,0.0,0,0,0,14,2,2,71,0,71,FALSE
1.5,3,3.42511855035714,4.03287770116976,3,0.8660254037844392,6,5.5,3,3,0,4,4,4,4,0,4,6,27,19,0,2,0,0,0,0,4,0,0,0,1,2,0,0.0,0.0,0,0,0,3,2,2,3,0,3,FALSE
1.0,1,3.142064672978,3.621340445285,6,0.0,6,3.6666666666666696,4,1,1,5,6,10,6,2,4,8,25,17,1,1,1,0,0,0,6,4,0,1,1,1,1,0.14285714285714302,0.0,0,0,0,2,0,0,17,3,14,FALSE
0.0,0,3.1699250014423104,2.8073549220576,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,2,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,2,0,0,0,0,0,FALSE
4.4,11,3.9093680639438895,4.4345019924093485,3,4.27083130081252,22,18.2,7,7,0,5,5,5,5,0,5,12,100,71,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,2,2,2,1,0,1,FALSE
