@relation tika-0.10.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.25,3,4.48785712392437,5.114165760562799,19,0.5204164998665329,30,5.54166666666667,3,3,0,24,24,24,24,0,24,30,138,87,0,0,0,0,0,0,24,0,0,0,0,0,0,0.0,0.0,0,0,0,15,0,0,58,0,58,FALSE
5.0,29,6.58266607984513,6.24068515426497,5,7.20042733774558,65,22.846153846153804,22,22,3,10,13,13,13,10,3,15,569,414,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,19,16,5,45,0,45,TRUE
0.0,0,3.4352899579562903,2.3219280948873595,1,0.0,0,1.0,3,3,0,1,1,1,1,0,1,2,18,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,FALSE
2.5,7,4.4000215643055,5.59478500118325,4,2.0,20,10.25,5,5,2,6,8,8,8,2,6,10,90,63,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,1,4,2,0,0,0,FALSE
1.0,1,2.72192809488736,3.09306920777189,2,0.0,2,3.5,0,0,0,2,2,2,2,0,2,2,9,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,4,0,4,FALSE
1.92307692307692,9,4.85369550955617,6.1817622229600095,18,1.85893014978378,50,8.153846153846152,2,2,8,18,26,26,26,6,20,33,216,133,0,0,0,0,0,0,26,0,0,0,0,0,0,0.0,0.0,0,0,0,10,2,2,48,0,48,FALSE
1.5,3,3.42511855035714,4.03287770116976,3,0.8660254037844392,6,5.5,3,3,0,4,4,4,4,0,4,6,27,19,0,1,0,0,0,0,4,0,0,0,1,1,0,0.0,0.0,0,0,0,3,2,2,3,0,3,FALSE
1.5,2,3.10689059560852,3.69334521889249,1,0.5,3,6.0,2,2,0,2,2,2,2,0,2,3,16,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,3,0,3,FALSE
1.0,1,3.142064672978,3.621340445285,6,0.0,6,3.6666666666666696,4,1,1,5,6,10,6,2,4,8,25,17,1,0,1,0,0,0,6,4,0,1,0,0,1,0.14285714285714302,0.0,0,0,0,2,0,0,17,3,14,FALSE
0.0,0,3.1699250014423104,2.8073549220576,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,2,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,2,0,0,0,0,0,FALSE
