relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
keys\BCMain.java,36.0,36,2.0,4.97901800540351,0,0.0,36,228.0,0,0,1,0,1,1,1,0,1,33,230,147,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
webapps\axis\SOAPMonitorApplet.java,2.0,3,7.59987076990311,4.95364611616612,3,1.0,12,7.66666666666667,4,4,0,6,6,6,6,1,5,2,1055,838,1,0,1,0,0,0,6,0,0,1,0,0,1,0.14285714285714302,0.0,0,0,0,1,3,3,9,0,9,0,0.0
interop\org\apache\ws\axis\oasis\PWCallback.java,4.0,4,2.58496250072116,3.40291007964973,0,0.0,4,16.0,1,1,0,1,1,1,1,0,1,1,25,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,5,0,5,0,0.0
interop\org\apache\ws\axis\oasis\PWCallback1.java,10.0,10,2.58496250072116,3.63010567611266,0,0.0,10,32.0,1,1,0,1,1,1,1,0,1,1,41,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,18,0,18,0,0.0
interop\org\apache\ws\axis\oasis\STScenario1.java,4.0,4,2.52164063634332,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\STScenario3.java,4.0,4,2.52164063634332,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\STScenario4.java,4.0,4,2.52164063634332,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario1.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario2.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario2a.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario3.java,4.0,4,2.94770277922009,5.217655904565531,0,0.0,4,23.0,1,1,1,0,1,1,1,0,1,2,27,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario4.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario5.java,4.0,4,2.94770277922009,5.09419221680488,0,0.0,4,26.0,1,1,1,0,1,1,1,0,1,2,30,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario6.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Scenario7.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\Tester.java,4.0,4,2.94770277922009,5.2452269312166,0,0.0,4,24.0,1,1,1,0,1,1,1,0,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
interop\org\apache\ws\axis\oasis\ping\PingBindingImpl.java,5.0,5,2.94770277922009,5.15721892147542,0,0.0,5,26.0,0,0,0,1,1,1,1,0,1,2,29,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,4,0,4,0,0.0
src\org\apache\ws\axis\security\WSDoAllReceiver.java,37.0,37,3.5,6.695931011519541,0,0.0,37,186.0,11,2,0,1,1,45,1,0,1,5,191,117,2,1,2,0,0,0,1,44,0,2,1,1,1,0.111111111111111,0.0,0,0,0,11,2,1,69,31,38,0,0.0
src\org\apache\ws\axis\security\WSDoAllSender.java,21.0,21,3.5,5.833764596002362,0,0.0,21,105.0,11,2,0,1,1,45,1,0,1,4,110,68,2,1,2,0,0,0,1,44,0,2,1,1,1,0.111111111111111,0.0,0,0,0,5,2,1,43,14,29,0,0.0
