relName,numbers,className,version,filePath,bug
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\DateConverter.java,2,org.apache.wicket.datetime.DateConverter,v1.3.0.beta1,RELATIVE:\wicket\wicket-1.3.0.beta1\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\DateConverter.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\DateConverter.java,2,org.apache.wicket.datetime.DateConverter,v1.3.0.beta2,RELATIVE:\wicket\wicket-1.3.0.beta2\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\DateConverter.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\PatternDateConverter.java,2,org.apache.wicket.datetime.PatternDateConverter,v1.3.0.beta1,RELATIVE:\wicket\wicket-1.3.0.beta1\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\PatternDateConverter.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\PatternDateConverter.java,2,org.apache.wicket.datetime.PatternDateConverter,v1.3.0.beta2,RELATIVE:\wicket\wicket-1.3.0.beta2\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\PatternDateConverter.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\StyleDateConverter.java,2,org.apache.wicket.datetime.StyleDateConverter,v1.3.0.beta1,RELATIVE:\wicket\wicket-1.3.0.beta1\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\StyleDateConverter.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\StyleDateConverter.java,2,org.apache.wicket.datetime.StyleDateConverter,v1.3.0.beta2,RELATIVE:\wicket\wicket-1.3.0.beta2\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\StyleDateConverter.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\basic\DateLabel.java,2,org.apache.wicket.datetime.markup.html.basic.DateLabel,v1.3.0.beta1,RELATIVE:\wicket\wicket-1.3.0.beta1\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\basic\DateLabel.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\basic\DateLabel.java,2,org.apache.wicket.datetime.markup.html.basic.DateLabel,v1.3.0.beta2,RELATIVE:\wicket\wicket-1.3.0.beta2\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\basic\DateLabel.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\form\DateTextField.java,2,org.apache.wicket.datetime.markup.html.form.DateTextField,v1.3.0.beta1,RELATIVE:\wicket\wicket-1.3.0.beta1\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\form\DateTextField.java,0.0
jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\form\DateTextField.java,2,org.apache.wicket.datetime.markup.html.form.DateTextField,v1.3.0.beta2,RELATIVE:\wicket\wicket-1.3.0.beta2\jdk-1.4\wicket-datetime\src\main\java\org\apache\wicket\datetime\markup\html\form\DateTextField.java,0.0
