className,loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.xml.sax.SAXException,54,6,3,3,0,10,0,0,0,6,0.0,1.0,0,0.85,0.5555555560000001,1,2,7.833333333,3,1.0,0,0.0,NON
org.apache.xerces.parsers.DOMParser,5680,63,2,3,27,225,793,7,20,42,0.8720800890000001,0.896551724,6,0.678947368,0.15207373300000002,2,11,88.69841269999999,6,1.6984,0,0.0,NON
org.apache.xerces.dom.RangeExceptionImpl,6,1,5,0,1,2,0,1,0,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,1,0.16666666666666666,IL
org.apache.html.dom.HTMLIFrameElementImpl,120,21,4,0,2,25,210,0,2,21,2.0,0.0,0,0.8245614040000001,0.523809524,0,0,4.714285714,1,0.9524,0,0.0,NON
org.apache.xerces.dom.ChildAndParentNode,1120,25,3,3,13,67,34,3,11,14,0.638888889,0.833333333,3,0.684931507,0.205,2,22,43.56,11,2.28,1,0.0017857142857142857,NON
org.apache.xerces.validators.datatype.DatatypeValidator,17,3,1,0,26,3,3,25,1,3,1.5,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0,0.0,NON
org.w3c.dom.events.DocumentEvent,1,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,2.0,IL
org.apache.html.dom.HTMLTitleElementImpl,60,3,4,0,2,14,3,1,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,19.0,3,1.6667,0,0.0,NON
org.apache.wml.dom.WMLSmallElementImpl,39,7,4,0,3,10,21,0,3,7,2.0,0.0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0,0.0,IL
org.apache.html.dom.HTMLButtonElementImpl,97,12,4,0,3,22,66,0,3,12,2.0,0.0,0,0.895238095,0.316666667,1,1,7.083333333,3,1.25,0,0.0,NON
org.apache.xerces.utils.regex.REUtil,867,17,1,0,8,54,134,7,3,5,0.9375,0.0,1,0.0,0.2125,0,0,49.88235294,19,4.7059,0,0.0,NON
org.apache.xerces.dom.ParentNode,1120,25,2,5,14,68,34,5,11,14,0.638888889,0.833333333,3,0.656716418,0.205,1,17,43.56,11,2.28,1,0.0017857142857142857,NON
javax.xml.parsers.DocumentBuilderFactory,117,8,1,1,0,16,14,0,0,6,0.7857142859999999,1.0,0,0.0,0.571428571,0,0,13.125,1,0.75,1,0.008547008547008548,NON
org.apache.xerces.utils.regex.RangeToken,2128,18,2,0,6,35,0,6,1,1,0.6806722690000001,0.14285714300000002,1,0.734375,0.36111111100000004,1,7,116.83333329999999,17,8.0,0,0.0,NON
org.apache.xerces.validators.common.CMException,13,2,3,0,11,3,0,11,0,2,1.0,0.5,0,0.944444444,0.75,0,0,4.5,1,0.5,0,0.0,NON
org.apache.xerces.readers.XMLEntityHandler,51,10,1,0,22,10,45,20,2,10,1.111111111,0.0,0,0.0,0.3,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.dom.NamedNodeMapImpl,579,22,1,1,9,48,41,6,3,9,0.843537415,0.857142857,1,0.0,0.22727272699999998,0,0,25.0,7,2.2727,1,0.0017271157167530224,NON
org.apache.wml.dom.WMLStrongElementImpl,39,7,4,0,3,10,21,0,3,7,2.0,0.0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0,0.0,IL
org.apache.xerces.utils.Base64,720,7,1,0,1,9,13,1,0,6,1.083333333,1.0,0,0.0,0.25,0,0,100.1428571,11,3.5714,0,0.0,NON
org.xml.sax.Attributes,12,12,1,0,0,12,66,0,0,12,2.0,0.0,0,0.0,0.638888889,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.readers.CharReader,583,4,3,0,6,9,0,1,5,0,0.380952381,1.0,0,0.926829268,0.40625,1,3,143.0,1,0.75,0,0.0,IL
org.apache.xerces.framework.XMLDocumentHandler,18,18,1,0,6,18,153,4,2,18,2.0,0.0,0,0.0,0.4,0,0,0.0,1,1.0,0,0.0,NON
