relName,className,version,filePath,bug,type
src\java\org\apache\lucene\LucenePackage.java,org.apache.lucene.LucenePackage,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\LucenePackage.java,0.0,NON
src\java\org\apache\lucene\analysis\Analyzer.java,org.apache.lucene.analysis.Analyzer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\Analyzer.java,0.0,IL
src\java\org\apache\lucene\analysis\CharTokenizer.java,org.apache.lucene.analysis.CharTokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\CharTokenizer.java,0.0,IL
src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,org.apache.lucene.analysis.ISOLatin1AccentFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,1.0,NON
src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,org.apache.lucene.analysis.KeywordAnalyzer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,0.0,IL
src\java\org\apache\lucene\analysis\KeywordTokenizer.java,org.apache.lucene.analysis.KeywordTokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\KeywordTokenizer.java,0.0,IL
src\java\org\apache\lucene\analysis\LengthFilter.java,org.apache.lucene.analysis.LengthFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LengthFilter.java,0.0,IL
src\java\org\apache\lucene\analysis\LetterTokenizer.java,org.apache.lucene.analysis.LetterTokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LetterTokenizer.java,0.0,NON
src\java\org\apache\lucene\analysis\LowerCaseFilter.java,org.apache.lucene.analysis.LowerCaseFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LowerCaseFilter.java,0.0,IL
src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,org.apache.lucene.analysis.LowerCaseTokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,0.0,IL
src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,org.apache.lucene.analysis.PerFieldAnalyzerWrapper,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,1.0,NON
src\java\org\apache\lucene\analysis\PorterStemFilter.java,org.apache.lucene.analysis.PorterStemFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\PorterStemFilter.java,0.0,IL
src\java\org\apache\lucene\analysis\PorterStemmer.java,org.apache.lucene.analysis.PorterStemmer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\PorterStemmer.java,0.0,IL
src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,org.apache.lucene.analysis.SimpleAnalyzer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,0.0,NON
src\java\org\apache\lucene\analysis\StopAnalyzer.java,org.apache.lucene.analysis.StopAnalyzer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\StopAnalyzer.java,0.0,NON
src\java\org\apache\lucene\analysis\StopFilter.java,org.apache.lucene.analysis.StopFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\StopFilter.java,0.0,IL
src\java\org\apache\lucene\analysis\Token.java,org.apache.lucene.analysis.Token,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\Token.java,1.0,NON
src\java\org\apache\lucene\analysis\TokenFilter.java,org.apache.lucene.analysis.TokenFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\TokenFilter.java,0.0,IL
src\java\org\apache\lucene\analysis\TokenStream.java,org.apache.lucene.analysis.TokenStream,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\TokenStream.java,1.0,NON
src\java\org\apache\lucene\analysis\Tokenizer.java,org.apache.lucene.analysis.Tokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\Tokenizer.java,0.0,IL
src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,org.apache.lucene.analysis.WhitespaceAnalyzer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,0.0,NON
src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,org.apache.lucene.analysis.WhitespaceTokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,0.0,IL
src\java\org\apache\lucene\analysis\WordlistLoader.java,org.apache.lucene.analysis.WordlistLoader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\WordlistLoader.java,0.0,NON
src\java\org\apache\lucene\analysis\standard\CharStream.java,org.apache.lucene.analysis.standard.CharStream,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\CharStream.java,1.0,NON
src\java\org\apache\lucene\analysis\standard\FastCharStream.java,org.apache.lucene.analysis.standard.FastCharStream,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\FastCharStream.java,0.0,NON
src\java\org\apache\lucene\analysis\standard\ParseException.java,org.apache.lucene.analysis.standard.ParseException,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\ParseException.java,1.0,IL
src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,org.apache.lucene.analysis.standard.StandardAnalyzer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,0.0,IL
src\java\org\apache\lucene\analysis\standard\StandardFilter.java,org.apache.lucene.analysis.standard.StandardFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardFilter.java,0.0,IL
src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,org.apache.lucene.analysis.standard.StandardTokenizer,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,0.0,IL
src\java\org\apache\lucene\analysis\standard\StandardTokenizerConstants.java,org.apache.lucene.analysis.standard.StandardTokenizerConstants,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardTokenizerConstants.java,0.0,NON
src\java\org\apache\lucene\analysis\standard\StandardTokenizerTokenManager.java,org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardTokenizerTokenManager.java,1.0,NON
src\java\org\apache\lucene\analysis\standard\Token.java,org.apache.lucene.analysis.standard.Token,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\Token.java,0.0,NON
src\java\org\apache\lucene\analysis\standard\TokenMgrError.java,org.apache.lucene.analysis.standard.TokenMgrError,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\TokenMgrError.java,0.0,NON
src\java\org\apache\lucene\document\DateField.java,org.apache.lucene.document.DateField,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\DateField.java,0.0,IL
src\java\org\apache\lucene\document\DateTools.java,org.apache.lucene.document.DateTools,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\DateTools.java,0.0,NON
src\java\org\apache\lucene\document\Document.java,org.apache.lucene.document.Document,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\Document.java,1.0,NON
src\java\org\apache\lucene\document\Field.java,org.apache.lucene.document.Field,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\Field.java,1.0,NON
src\java\org\apache\lucene\document\NumberTools.java,org.apache.lucene.document.NumberTools,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\NumberTools.java,0.0,IL
src\java\org\apache\lucene\index\CompoundFileReader.java,org.apache.lucene.index.CompoundFileReader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\CompoundFileReader.java,1.0,NON
src\java\org\apache\lucene\index\CompoundFileWriter.java,org.apache.lucene.index.CompoundFileWriter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\CompoundFileWriter.java,1.0,NON
src\java\org\apache\lucene\index\DocumentWriter.java,org.apache.lucene.index.DocumentWriter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\DocumentWriter.java,1.0,NON
src\java\org\apache\lucene\index\FieldInfo.java,org.apache.lucene.index.FieldInfo,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\FieldInfo.java,1.0,NON
src\java\org\apache\lucene\index\FieldInfos.java,org.apache.lucene.index.FieldInfos,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\FieldInfos.java,1.0,NON
src\java\org\apache\lucene\index\FieldsReader.java,org.apache.lucene.index.FieldsReader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\FieldsReader.java,1.0,NON
src\java\org\apache\lucene\index\FieldsWriter.java,org.apache.lucene.index.FieldsWriter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\FieldsWriter.java,1.0,NON
src\java\org\apache\lucene\index\FilterIndexReader.java,org.apache.lucene.index.FilterIndexReader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\FilterIndexReader.java,1.0,NON
src\java\org\apache\lucene\index\IndexFileNameFilter.java,org.apache.lucene.index.IndexFileNameFilter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\IndexFileNameFilter.java,0.0,NON
src\java\org\apache\lucene\index\IndexFileNames.java,org.apache.lucene.index.IndexFileNames,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\IndexFileNames.java,1.0,NON
src\java\org\apache\lucene\index\IndexModifier.java,org.apache.lucene.index.IndexModifier,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\IndexModifier.java,1.0,NON
src\java\org\apache\lucene\index\IndexReader.java,org.apache.lucene.index.IndexReader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\IndexReader.java,1.0,NON
src\java\org\apache\lucene\index\IndexWriter.java,org.apache.lucene.index.IndexWriter,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\IndexWriter.java,1.0,NON
src\java\org\apache\lucene\index\MultiReader.java,org.apache.lucene.index.MultiReader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\MultiReader.java,1.0,NON
src\java\org\apache\lucene\index\MultipleTermPositions.java,org.apache.lucene.index.MultipleTermPositions,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\MultipleTermPositions.java,1.0,NON
src\java\org\apache\lucene\index\ParallelReader.java,org.apache.lucene.index.ParallelReader,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\ParallelReader.java,1.0,NON
src\java\org\apache\lucene\index\SegmentInfo.java,org.apache.lucene.index.SegmentInfo,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\SegmentInfo.java,1.0,NON
src\java\org\apache\lucene\index\SegmentInfos.java,org.apache.lucene.index.SegmentInfos,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\SegmentInfos.java,1.0,NON
src\java\org\apache\lucene\index\SegmentMergeInfo.java,org.apache.lucene.index.SegmentMergeInfo,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\SegmentMergeInfo.java,0.0,IL
src\java\org\apache\lucene\index\SegmentMergeQueue.java,org.apache.lucene.index.SegmentMergeQueue,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\SegmentMergeQueue.java,0.0,NON
