className,numbers,relName,version,filePath,bug,type
org.apache.lucene.LucenePackage,3,src\java\org\apache\lucene\LucenePackage.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\LucenePackage.java,0.0,NON
org.apache.lucene.LucenePackage,3,src\java\org\apache\lucene\LucenePackage.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\LucenePackage.java,0.0,NON
org.apache.lucene.LucenePackage,3,src\java\org\apache\lucene\LucenePackage.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\LucenePackage.java,0.0,NON
org.apache.lucene.analysis.Analyzer,3,src\java\org\apache\lucene\analysis\Analyzer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\Analyzer.java,0.0,NON
org.apache.lucene.analysis.Analyzer,3,src\java\org\apache\lucene\analysis\Analyzer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\Analyzer.java,1.0,NON
org.apache.lucene.analysis.Analyzer,3,src\java\org\apache\lucene\analysis\Analyzer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\Analyzer.java,1.0,NON
org.apache.lucene.analysis.CachingTokenFilter,2,src\java\org\apache\lucene\analysis\CachingTokenFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\CachingTokenFilter.java,1.0,NON
org.apache.lucene.analysis.CachingTokenFilter,2,src\java\org\apache\lucene\analysis\CachingTokenFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\CachingTokenFilter.java,1.0,NON
org.apache.lucene.analysis.CharTokenizer,3,src\java\org\apache\lucene\analysis\CharTokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\CharTokenizer.java,0.0,NON
org.apache.lucene.analysis.CharTokenizer,3,src\java\org\apache\lucene\analysis\CharTokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\CharTokenizer.java,1.0,NON
org.apache.lucene.analysis.CharTokenizer,3,src\java\org\apache\lucene\analysis\CharTokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\CharTokenizer.java,1.0,NON
org.apache.lucene.analysis.ISOLatin1AccentFilter,3,src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,1.0,NON
org.apache.lucene.analysis.ISOLatin1AccentFilter,3,src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,1.0,NON
org.apache.lucene.analysis.ISOLatin1AccentFilter,3,src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\ISOLatin1AccentFilter.java,0.0,NON
org.apache.lucene.analysis.KeywordAnalyzer,3,src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,0.0,NON
org.apache.lucene.analysis.KeywordAnalyzer,3,src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,1.0,NON
org.apache.lucene.analysis.KeywordAnalyzer,3,src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\KeywordAnalyzer.java,1.0,NON
org.apache.lucene.analysis.KeywordTokenizer,3,src\java\org\apache\lucene\analysis\KeywordTokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\KeywordTokenizer.java,0.0,NON
