@relation mahout-0.6.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.0,1,2.66353275480426,3.97017552146435,4,0.0,4,2.75,0,0,3,1,4,4,4,1,3,1,13,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,FALSE
8.5,37,5.53024902925587,6.271727189366291,3,8.71779788708135,136,42.125,17,17,1,15,16,16,16,5,11,28,693,682,0,0,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0,0,0,18,9,6,133,0,133,FALSE
1.0,3,3.42204236083514,4.3615999841589,7,0.8660254037844392,8,4.0,4,4,0,8,8,8,8,1,7,5,38,30,0,1,0,4,0,4,8,0,0,0,2,2,0,0.0,0.0,0,0,0,0,3,2,0,0,0,FALSE
1.0,1,2.9794705707972504,3.19584681511172,4,0.0,4,3.0,4,0,0,4,4,10,4,2,2,4,16,9,1,0,1,2,2,0,2,6,2,1,0,0,1,0.19444444444444395,0.2,0,0,0,0,0,0,4,4,0,FALSE
1.0,1,2.0,2.24643934467102,3,0.0,3,2.3333333333333304,0,0,0,3,3,7,3,0,3,2,8,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,2,2,0,FALSE
1.0,1,2.0,2.24643934467102,3,0.0,3,2.3333333333333304,0,0,0,3,3,7,3,0,3,2,8,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,2,2,0,FALSE
0.0,0,1.92192809488736,2.0,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,FALSE
1.0,1,2.40666631674069,2.25,4,0.0,4,2.5,0,0,0,4,4,4,4,0,4,4,12,8,1,1,1,0,0,0,4,0,0,1,2,2,1,0.133333333333333,0.0,0,0,0,0,0,0,0,0,0,FALSE
1.0,1,2.9794705707972504,3.19584681511172,4,0.0,4,3.0,4,0,0,4,4,10,4,2,2,4,15,9,1,0,1,2,2,0,2,6,2,1,0,0,1,0.19444444444444395,0.2,0,0,0,0,0,0,4,4,0,FALSE
1.0,1,2.0,0.0,2,0.0,2,0.0,2,2,0,2,2,2,2,0,2,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,2,1,0,0,0,FALSE
