className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity
org.apache.poi.hssf.usermodel.HSSFRow,24,1,0,9,52,86,4,5,16,0.673913043,451,0.833333333,3,0.0,0.183333333,0,0,17.54166667,5,1.7083,1,0.008869179600886918
org.apache.poi.ddf.EscherBoolProperty,3,3,0,6,4,1,5,1,3,2.0,24,0.0,0,0.875,0.5555555560000001,0,0,7.0,2,1.3333,0,0.0
org.apache.poi.hssf.usermodel.HSSFPatriarch,12,1,0,10,24,6,2,9,11,0.787878788,156,0.0,1,0.0,0.375,0,0,11.5,2,1.0,1,0.00641025641025641
org.apache.poi.poifs.property.PropertyConstants,0,1,0,0,0,0,0,0,0,2.0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0
org.apache.poi.hssf.usermodel.HSSFSheet,93,1,0,33,244,0,6,28,79,0.925951087,1441,0.4375,3,0.0,0.144927536,0,0,14.32258065,18,1.6559,1,0.002775850104094379
org.apache.poi.hssf.eventusermodel.HSSFListener,1,1,0,7,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.EscherAggregate,20,3,0,34,126,130,3,32,10,1.047117794,1170,0.019047619,2,0.558139535,0.161538462,2,7,47.0,11,2.4,1,0.0008547008547008548
org.apache.poi.hssf.usermodel.HSSFWorkbook,54,1,0,34,183,89,4,30,45,0.878216123,1831,0.727272727,4,0.0,0.140161725,0,0,32.7037037,32,2.2963,1,0.006007646095030039
org.apache.poi.poifs.storage.HeaderBlockWriter,8,2,0,8,19,0,2,6,6,0.8214285709999999,324,1.0,6,0.3,0.583333333,1,2,38.5,4,1.375,0,0.0
org.apache.poi.util.FixedField,4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.SubRecord,4,2,3,6,11,6,4,5,4,2.0,61,0.0,0,0.916666667,0.6875,0,0,14.25,5,1.25,1,0.049180327868852465
org.apache.poi.hssf.usermodel.HSSFAnchor,12,1,2,15,13,42,15,0,12,0.818181818,62,0.0,0,0.0,0.708333333,0,0,3.833333333,1,0.8333,0,0.0
org.apache.poi.hssf.usermodel.HSSFFont,21,1,0,6,44,0,5,1,20,0.976666667,153,0.133333333,1,0.0,0.253968254,0,0,5.571428571,1,0.9524,1,0.013071895424836602
org.apache.poi.poifs.dev.POIFSViewable,4,1,0,6,4,6,6,0,4,2.0,4,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hpsf.Property,6,1,0,5,25,7,2,3,4,0.75,230,1.0,0,0.0,0.55,0,0,36.66666667,9,2.0,1,0.008695652173913044
org.apache.poi.poifs.filesystem.DocumentDescriptor,4,1,0,2,18,0,1,1,4,0.222222222,129,1.0,1,0.0,0.4375,1,1,30.5,6,2.5,0,0.0
org.apache.poi.hssf.usermodel.HSSFShapeGroup,12,2,0,10,23,6,3,7,12,0.672727273,154,0.0,0,0.592592593,0.316666667,1,1,11.41666667,2,1.0,1,0.006493506493506494
